idMaquina,nro_egm,fabricante,modelo,p_pago,denom,juego,nro_serie,programa,credito,estado,img,ap_minima,ap_maxima,cant_lineas,tipo_juego
121,2401721,WILLIAMS,BLUEBIRD,91.8,0.01,"NEPTUNE'S KINGDOM II",W2201037,S853-000-1030B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
122,2401722,WILLIAMS,BLUEBIRD,92.0,0.01,"KING OF THE WILD",W2200982,S838-000-1080B2,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
123,2401726,WILLIAMS,BLUEBIRD,91.8,0.01,"REEL RICH DEVIL",W2200990,S964-000-1060,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
124,2401728,WILLIAMS,BLUEBIRD,92.0,0.01,"GREAT EAGLE",W2200980,S889-000-1040B2,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
125,2401759,WILLIAMS,BLUEBIRD,91.8,0.01,"REEL RICH DEVIL",W2220992,S964-000-1060,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
126,2401760,WILLIAMS,BLUEBIRD,91.9,0.01,"JUNGLE WILD",W2220993,S759-000-1050B2,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
127,2401780,I.G.T,"G20 AVP 3.0",92.0,0.01,"LUCKY HORSE",1971725,GI014005LZ6H004,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
128,2401781,I.G.T,"G20 AVP 3.0",92.0,0.01,"FIGARO 466L",1971726,"GI014001AW8E011 / AI014-09P",0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
129,2401782,I.G.T,"G20 AVP 3.0",91.4,0.01,SIRENS,1971718,GI014001cY90003,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
130,2401783,I.G.T,"G20 AVP 3.0",91.9,0.01,"DOUBLE DINOSAUR",1971712,GI014001DA1E003/AI014-09P,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
131,2401784,I.G.T,"G20 AVP 3.0",91.9,0.01,"KITTY GLITER",1971661,GI014001H19C005,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
132,2401785,I.G.T,"G20 AVP 3.0",92.0,0.01,"CAT PAWS",1971721,GI014005SC4H004,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
133,2401786,I.G.T,"G20 AVP 3.0",92.0,0.01,"GOLDEN MEMORIES",1971734,GI014005ML4B001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
134,2401787,I.G.T,"G20 AVP 3.0",91.9,0.01,PETS,1971655,GI014005LD5E001,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
135,2401788,IGT,"G20 AVP 3.0",91.9,0.01,"TALES OF HERCULES",1973451,GI014005KR6M001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
136,2401789,IGT,"G20 AVP 3.0",91.9,0.01,"THE SWORDSMAN",1973444,GI014005QQ8M001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
137,2401790,IGT,"G20 AVP 3.0",91.9,0.01,BRAZILIA,1973450,GI014014005LL9M01,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
138,2401791,IGT,"G20 AVP 3.0",92.5,0.01,"FISHING BOB",1973449,GI014005QA6M008,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
139,2401792,IGT,"G20 AVP 3.0",92.0,0.01,"LUCKY HORSE",1973446,GI014005LZ6H004,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
140,2401793,IGT,"G20 AVP 3.0",92.0,0.01,"ISLAND EYES",1973445,GI014005MO2H004,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
141,2401794,IGT,"G20 AVP 3.0",92.0,0.01,"LUCKY HORSE",1973447,GI014005LZ6H004,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
142,2401795,IGT,"G20 AVP 3.0",91.9,0.01,DOGS,1973442,GI014005PD7M001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
143,2401796,IGT,"G20 AVP 3.0",92.0,0.01,"EL GRAN FESTIVAL",1973448,GI014005QI1B001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
144,2401797,IGT,"G20 AVP 3.0",92.0,0.01,"ISLAND EYES",1973443,GI014005MO2H004,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
145,2401806,I.G.T,"G20 AVP 3.0",91.9,0.01,"THE SWORDSMAN",1971728,GI014005QQ8H004,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
146,2401807,I.G.T,"G20 AVP 3.0",91.9,0.01,"THUNDERING BUFFALO",1971719,GI014005JW3E001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
147,2401828,IGT,"G22 AVP 3.0",92.5,0.01,"COYOTE MOON",1971711,GE011001F010001/AE011-031,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
148,2401829,IGT,"G22 AVP 3.0",92.7,0.01,"KITTY GLITTER",1971660,GI014001H190001/AI014-067,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
149,2401830,IGT,"G22 AVP 3.0",91.5,0.01,"NOAH S ARK",1971733,GE011001BA2001/AE011-031,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
150,2401831,IGT,"G22 AVP 3.0",91.5,0.01,CATS,1971652,GE011001EN20001/AE011-031,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
151,2401832,IGT,"G22 AVP 3.0",92.5,0.01,"MAYAN RICHES",1971730,GI014001V780008/AI014-067,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
152,2401833,IGT,"G22 AVP 3.0",91.5,0.01,CATS,1971722,GE011001EN20001/AE011-031,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
153,2401834,IGT,"G22 AVP 3.0",92.5,0.01,"COYOTE MOON",1971723,GE011001F010001/AE011-031,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
154,2401835,I.G.T,"G22 AVP 3.0",91.9,0.01,"DAKOTA THUNDER",1971735,"GI014001BS7H004 / AI014-09P",0.05|0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
155,2401840,NOVOMATIC,"FV 626 CF 2",93.2,0.05,"SUPER-V+GAMINATOR 38",468921,V8.7-14/1011,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
